x,y,heading,waypoint_x,waypoint_y
2.0466184616088867,0.1055726483464241,3.075777218816376,2.0,-0.10521042084168331
2.0466213226318359,0.10558058321475983,3.0757657283634106,2.0,-0.10521042084168331
2.0466184616088867,0.10557936877012253,3.075760494703871,2.0,-0.10521042084168331
2.0466270446777344,0.10559841990470886,3.0758598014121463,2.0,-0.10521042084168331
2.0466239452362061,0.10557199269533157,3.0757740282998975,2.0,-0.10521042084168331
2.0466206073760986,0.10557790100574493,3.0757943793755356,2.0,-0.10521042084168331
2.0466248989105225,0.1055680513381958,3.075813134402575,2.0,-0.10521042084168331
2.0466468334197998,0.10556066036224365,3.0758675809092675,2.0,-0.10521042084168331
2.0466377735137939,0.10555263608694077,3.0757426991188703,2.0,-0.10521042084168331
2.0466220378875732,0.10556870698928833,3.0757507429809197,2.0,-0.10521042084168331
2.0466344356536865,0.10556966066360474,3.0758006555564377,2.0,-0.10521042084168331
2.0466268062591553,0.10556585341691971,3.075818243479627,2.0,-0.10521042084168331
2.046626091003418,0.10554791241884232,3.0757875178346175,2.0,-0.10521042084168331
2.0466327667236328,0.10557462275028229,3.075800579434917,2.0,-0.10521042084168331
2.0466184616088867,0.10555302351713181,3.075727208375989,2.0,-0.10521042084168331
2.0465564727783203,0.10539335012435913,3.0756904995989554,2.0,-0.10521042084168331
2.0464479923248291,0.10255587100982666,3.0752055476850946,2.0,-0.10521042084168331
2.0457098484039307,0.09567888081073761,3.0736974617862796,2.0,-0.11523046092184375
2.0449607372283936,0.087924689054489136,3.074262992294224,2.0,-0.12525050100200374
2.0439894199371338,0.078342333436012268,3.072863896727343,2.0,-0.13527054108216419
2.0426666736602783,0.065840169787406921,3.0715469476968336,2.0,-0.14529058116232463
2.0412530899047852,0.053461562842130661,3.0706867963508286,2.0,-0.15531062124248507
2.0395088195800781,0.038296204060316086,3.068843520596549,2.0,-0.17535070140280551
2.0383648872375488,0.028646847233176231,3.067659789942826,2.0,-0.19539078156312595
2.0363543033599854,0.0091094030067324638,3.0650106846312575,2.0,-0.21543086172344683
2.0344676971435547,-0.0087653808295726776,3.0634025456076297,2.0,-0.22545090180360727
2.0336234569549561,-0.017423627898097038,3.0616610066061405,2.0,-0.23547094188376727
2.0314338207244873,-0.039166811853647232,3.059458549048562,2.0,-0.25551102204408815
2.0285744667053223,-0.062362078577280045,3.056455713043671,2.0,-0.29559118236472948
2.0252053737640381,-0.090840928256511688,3.0546148865003215,2.0,-0.32565130260521036
2.0225329399108887,-0.11433945596218109,3.0519970325974564,2.0,-0.3456913827655308
2.0198841094970703,-0.13418163359165192,3.0506805761816893,2.0,-0.36573146292585168
2.0174951553344727,-0.15677759051322937,3.0498722161733007,2.0,-0.39579158316633256
2.0160388946533203,-0.1706244945526123,3.0493041552990197,2.0,-0.415831663326653
2.0142168998718262,-0.1893644779920578,3.048916947888707,2.0,-0.42585170340681344
2.0114815235137939,-0.21667538583278656,3.04882855114066,2.0,-0.45591182364729432
2.0092997550964355,-0.23691391944885254,3.048786224282413,2.0,-0.48597194388777565
2.0057365894317627,-0.27015253901481628,3.049421740246077,2.0,-0.51603206412825653
2.0027256011962891,-0.29934754967689514,3.05015763206154,2.0,-0.54609218436873741
2.0000271797180176,-0.33265882730484009,3.0506030994390185,2.0,-0.58617234468937873
1.9971615076065063,-0.36375683546066284,3.051639682336107,2.0,-0.61623246492985961
1.9941645860671997,-0.39870929718017578,3.0528907204983287,2.0,-0.64629258517034049
1.9923596382141113,-0.42275050282478333,3.0544426560747056,2.0,-0.67635270541082138
1.9897540807723999,-0.4501785933971405,3.0569949596679518,2.0,-0.68637274549098182
1.9875789880752563,-0.48443427681922913,3.0598797394589705,2.0,-0.72645290581162314
1.9864898920059204,-0.50338459014892578,3.0613273802626,2.0,-0.74649298597194358
1.9848220348358154,-0.53540945053100586,3.065561774263366,2.0,-0.7765531062124249
1.9827902317047119,-0.56744205951690674,3.071354642671026,2.0,-0.80661322645290578
1.9813569784164429,-0.59006834030151367,3.073971381709825,2.0,-0.82665330661322622
1.9797816276550293,-0.61940270662307739,3.0784753382655015,2.0,-0.84669338677354711
1.9788678884506226,-0.66246336698532104,3.0832114933452335,2.0,-0.89679358717434843
1.9770673513412476,-0.70279788970947266,3.0887140682080068,2.0,-0.93687374749498975
1.9758379459381104,-0.75036442279815674,3.09558913064078,2.0,-0.97695390781563107
1.9751394987106323,-0.79185450077056885,3.1018874666293614,2.0,-1.0270541082164328
1.9744621515274048,-0.83025234937667847,3.1070761296351237,2.0,-1.0571142284569137
1.9743967056274414,-0.86223787069320679,3.1101560231985474,2.0,-1.097194388777555
1.974047064781189,-0.89417445659637451,3.116572327683257,2.0,-1.1272545090180359
1.9736899137496948,-0.92635166645050049,3.1193559018250485,2.0,-1.1573146292585168
1.9743386507034302,-0.97370755672454834,3.1250043377097345,2.0,-1.2074148296593186
1.9744733572006226,-1.0175994634628296,3.128872946098089,2.0,-1.2474949899799599
1.9750044345855713,-1.058315634727478,3.1343911311872215,2.0,-1.2875751503006012
