edge1_x,edge1_y,centerline1_x,centerline1_y,edge2_x,edge2_y,centerline2_x,centerline2_y,edge3_x,edge3_y,road_centerline_x,road_centerline_y,cumulative_distance
2.4899799599198396,1.3,2.4899799599198396,2.0,2.4899799599198396,2.7,2.4899799599198396,3.4,2.4899799599198396,4.1,2.4899799599198396,2.7,0.010020040080159998
2.4799599198396796,1.3,2.4799599198396796,2.0,2.4799599198396796,2.7,2.4799599198396796,3.4,2.4799599198396796,4.1,2.4799599198396796,2.7,0.02004008016032044
2.469939879759519,1.3,2.469939879759519,2.0,2.469939879759519,2.7,2.469939879759519,3.4,2.469939879759519,4.1,2.469939879759519,2.7,0.03006012024048088
2.4599198396793587,1.3,2.4599198396793587,2.0,2.4599198396793587,2.7,2.4599198396793587,3.4,2.4599198396793587,4.1,2.4599198396793587,2.7,0.04008016032064132
2.4498997995991982,1.3,2.4498997995991982,2.0,2.4498997995991982,2.7,2.4498997995991982,3.4,2.4498997995991982,4.1,2.4498997995991982,2.7,0.05010020040080132
2.4398797595190382,1.3,2.4398797595190382,2.0,2.4398797595190382,2.7,2.4398797595190382,3.4,2.4398797595190382,4.1,2.4398797595190382,2.7,0.06012024048096176
2.429859719438878,1.3,2.429859719438878,2.0,2.429859719438878,2.7,2.429859719438878,3.4,2.429859719438878,4.1,2.429859719438878,2.7,0.0701402805611222
2.4198396793587174,1.3,2.4198396793587174,2.0,2.4198396793587174,2.7,2.4198396793587174,3.4,2.4198396793587174,4.1,2.4198396793587174,2.7,0.08016032064128265
2.409819639278557,1.3,2.409819639278557,2.0,2.409819639278557,2.7,2.409819639278557,3.4,2.409819639278557,4.1,2.409819639278557,2.7,0.09018036072144264
2.399799599198397,1.3,2.399799599198397,2.0,2.399799599198397,2.7,2.399799599198397,3.4,2.399799599198397,4.1,2.399799599198397,2.7,0.10020040080160308
2.3897795591182365,1.3,2.3897795591182365,2.0,2.3897795591182365,2.7,2.3897795591182365,3.4,2.3897795591182365,4.1,2.3897795591182365,2.7,0.11022044088176353
2.379759519038076,1.3,2.379759519038076,2.0,2.379759519038076,2.7,2.379759519038076,3.4,2.379759519038076,4.1,2.379759519038076,2.7,0.12024048096192352
2.369739478957916,1.3,2.369739478957916,2.0,2.369739478957916,2.7,2.369739478957916,3.4,2.369739478957916,4.1,2.369739478957916,2.7,0.13026052104208397
2.3597194388777556,1.3,2.3597194388777556,2.0,2.3597194388777556,2.7,2.3597194388777556,3.4,2.3597194388777556,4.1,2.3597194388777556,2.7,0.1402805611222444
2.349699398797595,1.3,2.349699398797595,2.0,2.349699398797595,2.7,2.349699398797595,3.4,2.349699398797595,4.1,2.349699398797595,2.7,0.15030060120240485
2.3396793587174347,1.3,2.3396793587174347,2.0,2.3396793587174347,2.7,2.3396793587174347,3.4,2.3396793587174347,4.1,2.3396793587174347,2.7,0.16032064128256485
2.3296593186372747,1.3,2.3296593186372747,2.0,2.3296593186372747,2.7,2.3296593186372747,3.4,2.3296593186372747,4.1,2.3296593186372747,2.7,0.1703406813627253
2.3196392785571143,1.3,2.3196392785571143,2.0,2.3196392785571143,2.7,2.3196392785571143,3.4,2.3196392785571143,4.1,2.3196392785571143,2.7,0.18036072144288573
2.309619238476954,1.3,2.309619238476954,2.0,2.309619238476954,2.7,2.309619238476954,3.4,2.309619238476954,4.1,2.309619238476954,2.7,0.19038076152304573
2.299599198396794,1.3,2.299599198396794,2.0,2.299599198396794,2.7,2.299599198396794,3.4,2.299599198396794,4.1,2.299599198396794,2.7,0.20040080160320617
2.2895791583166334,1.3,2.2895791583166334,2.0,2.2895791583166334,2.7,2.2895791583166334,3.4,2.2895791583166334,4.1,2.2895791583166334,2.7,0.2104208416833666
2.279559118236473,1.3,2.279559118236473,2.0,2.279559118236473,2.7,2.279559118236473,3.4,2.279559118236473,4.1,2.279559118236473,2.7,0.22044088176352705
2.2695390781563125,1.3,2.2695390781563125,2.0,2.2695390781563125,2.7,2.2695390781563125,3.4,2.2695390781563125,4.1,2.2695390781563125,2.7,0.23046092184368705
2.2595190380761525,1.3,2.2595190380761525,2.0,2.2595190380761525,2.7,2.2595190380761525,3.4,2.2595190380761525,4.1,2.2595190380761525,2.7,0.2404809619238475
2.249498997995992,1.3,2.249498997995992,2.0,2.249498997995992,2.7,2.249498997995992,3.4,2.249498997995992,4.1,2.249498997995992,2.7,0.25050100200400793
2.2394789579158316,1.3,2.2394789579158316,2.0,2.2394789579158316,2.7,2.2394789579158316,3.4,2.2394789579158316,4.1,2.2394789579158316,2.7,0.2605210420841684
2.229458917835671,1.3,2.229458917835671,2.0,2.229458917835671,2.7,2.229458917835671,3.4,2.229458917835671,4.1,2.229458917835671,2.7,0.2705410821643284
2.219438877755511,1.3,2.219438877755511,2.0,2.219438877755511,2.7,2.219438877755511,3.4,2.219438877755511,4.1,2.219438877755511,2.7,0.2805611222444888
2.2094188376753507,1.3,2.2094188376753507,2.0,2.2094188376753507,2.7,2.2094188376753507,3.4,2.2094188376753507,4.1,2.2094188376753507,2.7,0.29058116232464926
2.1993987975951903,1.3,2.1993987975951903,2.0,2.1993987975951903,2.7,2.1993987975951903,3.4,2.1993987975951903,4.1,2.1993987975951903,2.7,0.3006012024048097
2.18937875751503,1.3,2.18937875751503,2.0,2.18937875751503,2.7,2.18937875751503,3.4,2.18937875751503,4.1,2.18937875751503,2.7,0.3106212424849697
2.17935871743487,1.3,2.17935871743487,2.0,2.17935871743487,2.7,2.17935871743487,3.4,2.17935871743487,4.1,2.17935871743487,2.7,0.32064128256513014
