edge1_x,edge2_x,edge3_x,edge1_y,edge2_y,edge3_y,centerline1_x,centerline2_x,centerline1_y,centerline2_y
1.3,2.4899799599198396,2.7,2.4899799599198396,4.1,2.4899799599198396,2.0,2.4899799599198396,3.4,2.4899799599198396
1.3,2.4799599198396796,2.7,2.4799599198396796,4.1,2.4799599198396796,2.0,2.4799599198396796,3.4,2.4799599198396796
1.3,2.469939879759519,2.7,2.469939879759519,4.1,2.469939879759519,2.0,2.469939879759519,3.4,2.469939879759519
1.3,2.4599198396793587,2.7,2.4599198396793587,4.1,2.4599198396793587,2.0,2.4599198396793587,3.4,2.4599198396793587
1.3,2.4498997995991982,2.7,2.4498997995991982,4.1,2.4498997995991982,2.0,2.4498997995991982,3.4,2.4498997995991982
1.3,2.4398797595190382,2.7,2.4398797595190382,4.1,2.4398797595190382,2.0,2.4398797595190382,3.4,2.4398797595190382
1.3,2.429859719438878,2.7,2.429859719438878,4.1,2.429859719438878,2.0,2.429859719438878,3.4,2.429859719438878
1.3,2.4198396793587174,2.7,2.4198396793587174,4.1,2.4198396793587174,2.0,2.4198396793587174,3.4,2.4198396793587174
1.3,2.409819639278557,2.7,2.409819639278557,4.1,2.409819639278557,2.0,2.409819639278557,3.4,2.409819639278557
1.3,2.399799599198397,2.7,2.399799599198397,4.1,2.399799599198397,2.0,2.399799599198397,3.4,2.399799599198397
1.3,2.3897795591182365,2.7,2.3897795591182365,4.1,2.3897795591182365,2.0,2.3897795591182365,3.4,2.3897795591182365
1.3,2.379759519038076,2.7,2.379759519038076,4.1,2.379759519038076,2.0,2.379759519038076,3.4,2.379759519038076
1.3,2.369739478957916,2.7,2.369739478957916,4.1,2.369739478957916,2.0,2.369739478957916,3.4,2.369739478957916
1.3,2.3597194388777556,2.7,2.3597194388777556,4.1,2.3597194388777556,2.0,2.3597194388777556,3.4,2.3597194388777556
1.3,2.349699398797595,2.7,2.349699398797595,4.1,2.349699398797595,2.0,2.349699398797595,3.4,2.349699398797595
1.3,2.3396793587174347,2.7,2.3396793587174347,4.1,2.3396793587174347,2.0,2.3396793587174347,3.4,2.3396793587174347
1.3,2.3296593186372747,2.7,2.3296593186372747,4.1,2.3296593186372747,2.0,2.3296593186372747,3.4,2.3296593186372747
1.3,2.3196392785571143,2.7,2.3196392785571143,4.1,2.3196392785571143,2.0,2.3196392785571143,3.4,2.3196392785571143
1.3,2.309619238476954,2.7,2.309619238476954,4.1,2.309619238476954,2.0,2.309619238476954,3.4,2.309619238476954
1.3,2.299599198396794,2.7,2.299599198396794,4.1,2.299599198396794,2.0,2.299599198396794,3.4,2.299599198396794
1.3,2.2895791583166334,2.7,2.2895791583166334,4.1,2.2895791583166334,2.0,2.2895791583166334,3.4,2.2895791583166334
1.3,2.279559118236473,2.7,2.279559118236473,4.1,2.279559118236473,2.0,2.279559118236473,3.4,2.279559118236473
1.3,2.2695390781563125,2.7,2.2695390781563125,4.1,2.2695390781563125,2.0,2.2695390781563125,3.4,2.2695390781563125
1.3,2.2595190380761525,2.7,2.2595190380761525,4.1,2.2595190380761525,2.0,2.2595190380761525,3.4,2.2595190380761525
1.3,2.249498997995992,2.7,2.249498997995992,4.1,2.249498997995992,2.0,2.249498997995992,3.4,2.249498997995992
1.3,2.2394789579158316,2.7,2.2394789579158316,4.1,2.2394789579158316,2.0,2.2394789579158316,3.4,2.2394789579158316
1.3,2.229458917835671,2.7,2.229458917835671,4.1,2.229458917835671,2.0,2.229458917835671,3.4,2.229458917835671
1.3,2.219438877755511,2.7,2.219438877755511,4.1,2.219438877755511,2.0,2.219438877755511,3.4,2.219438877755511
1.3,2.2094188376753507,2.7,2.2094188376753507,4.1,2.2094188376753507,2.0,2.2094188376753507,3.4,2.2094188376753507
1.3,2.1993987975951903,2.7,2.1993987975951903,4.1,2.1993987975951903,2.0,2.1993987975951903,3.4,2.1993987975951903
1.3,2.18937875751503,2.7,2.18937875751503,4.1,2.18937875751503,2.0,2.18937875751503,3.4,2.18937875751503
1.3,2.17935871743487,2.7,2.17935871743487,4.1,2.17935871743487,2.0,2.17935871743487,3.4,2.17935871743487
1.3,2.1693386773547094,2.7,2.1693386773547094,4.1,2.1693386773547094,2.0,2.1693386773547094,3.4,2.1693386773547094
1.3,2.159318637274549,2.7,2.159318637274549,4.1,2.159318637274549,2.0,2.159318637274549,3.4,2.159318637274549
1.3,2.149298597194389,2.7,2.149298597194389,4.1,2.149298597194389,2.0,2.149298597194389,3.4,2.149298597194389
1.3,2.1392785571142285,2.7,2.1392785571142285,4.1,2.1392785571142285,2.0,2.1392785571142285,3.4,2.1392785571142285
1.3,2.129258517034068,2.7,2.129258517034068,4.1,2.129258517034068,2.0,2.129258517034068,3.4,2.129258517034068
1.3,2.1192384769539077,2.7,2.1192384769539077,4.1,2.1192384769539077,2.0,2.1192384769539077,3.4,2.1192384769539077
1.3,2.1092184368737477,2.7,2.1092184368737477,4.1,2.1092184368737477,2.0,2.1092184368737477,3.4,2.1092184368737477
1.3,2.099198396793587,2.7,2.099198396793587,4.1,2.099198396793587,2.0,2.099198396793587,3.4,2.099198396793587
1.3,2.0891783567134268,2.7,2.0891783567134268,4.1,2.0891783567134268,2.0,2.0891783567134268,3.4,2.0891783567134268
1.3,2.079158316633267,2.7,2.079158316633267,4.1,2.079158316633267,2.0,2.079158316633267,3.4,2.079158316633267
1.3,2.0691382765531063,2.7,2.0691382765531063,4.1,2.0691382765531063,2.0,2.0691382765531063,3.4,2.0691382765531063
1.3,2.059118236472946,2.7,2.059118236472946,4.1,2.059118236472946,2.0,2.059118236472946,3.4,2.059118236472946
1.3,2.0490981963927855,2.7,2.0490981963927855,4.1,2.0490981963927855,2.0,2.0490981963927855,3.4,2.0490981963927855
1.3,2.0390781563126255,2.7,2.0390781563126255,4.1,2.0390781563126255,2.0,2.0390781563126255,3.4,2.0390781563126255
1.3,2.029058116232465,2.7,2.029058116232465,4.1,2.029058116232465,2.0,2.029058116232465,3.4,2.029058116232465
1.3,2.0190380761523046,2.7,2.0190380761523046,4.1,2.0190380761523046,2.0,2.0190380761523046,3.4,2.0190380761523046
1.3,2.009018036072144,2.7,2.009018036072144,4.1,2.009018036072144,2.0,2.009018036072144,3.4,2.009018036072144
1.3,1.9989979959919841,2.7,1.9989979959919841,4.1,1.9989979959919841,2.0,1.9989979959919841,3.4,1.9989979959919841
1.3,1.9889779559118237,2.7,1.9889779559118237,4.1,1.9889779559118237,2.0,1.9889779559118237,3.4,1.9889779559118237
1.3,1.9789579158316633,2.7,1.9789579158316633,4.1,1.9789579158316633,2.0,1.9789579158316633,3.4,1.9789579158316633
1.3,1.968937875751503,2.7,1.968937875751503,4.1,1.968937875751503,2.0,1.968937875751503,3.4,1.968937875751503
1.3,1.9589178356713428,2.7,1.9589178356713428,4.1,1.9589178356713428,2.0,1.9589178356713428,3.4,1.9589178356713428
1.3,1.9488977955911824,2.7,1.9488977955911824,4.1,1.9488977955911824,2.0,1.9488977955911824,3.4,1.9488977955911824
1.3,1.938877755511022,2.7,1.938877755511022,4.1,1.938877755511022,2.0,1.938877755511022,3.4,1.938877755511022
1.3,1.9288577154308617,2.7,1.9288577154308617,4.1,1.9288577154308617,2.0,1.9288577154308617,3.4,1.9288577154308617
1.3,1.9188376753507015,2.7,1.9188376753507015,4.1,1.9188376753507015,2.0,1.9188376753507015,3.4,1.9188376753507015
1.3,1.908817635270541,2.7,1.908817635270541,4.1,1.908817635270541,2.0,1.908817635270541,3.4,1.908817635270541
1.3,1.8987975951903808,2.7,1.8987975951903808,4.1,1.8987975951903808,2.0,1.8987975951903808,3.4,1.8987975951903808
1.3,1.8887775551102206,2.7,1.8887775551102206,4.1,1.8887775551102206,2.0,1.8887775551102206,3.4,1.8887775551102206
1.3,1.8787575150300602,2.7,1.8787575150300602,4.1,1.8787575150300602,2.0,1.8787575150300602,3.4,1.8787575150300602
1.3,1.8687374749498997,2.7,1.8687374749498997,4.1,1.8687374749498997,2.0,1.8687374749498997,3.4,1.8687374749498997
1.3,1.8587174348697395,2.7,1.8587174348697395,4.1,1.8587174348697395,2.0,1.8587174348697395,3.4,1.8587174348697395
1.3,1.8486973947895793,2.7,1.8486973947895793,4.1,1.8486973947895793,2.0,1.8486973947895793,3.4,1.8486973947895793
1.3,1.8386773547094188,2.7,1.8386773547094188,4.1,1.8386773547094188,2.0,1.8386773547094188,3.4,1.8386773547094188
1.3,1.8286573146292584,2.7,1.8286573146292584,4.1,1.8286573146292584,2.0,1.8286573146292584,3.4,1.8286573146292584
1.3,1.8186372745490982,2.7,1.8186372745490982,4.1,1.8186372745490982,2.0,1.8186372745490982,3.4,1.8186372745490982
1.3,1.808617234468938,2.7,1.808617234468938,4.1,1.808617234468938,2.0,1.808617234468938,3.4,1.808617234468938
1.3,1.7985971943887775,2.7,1.7985971943887775,4.1,1.7985971943887775,2.0,1.7985971943887775,3.4,1.7985971943887775
1.3,1.7885771543086173,2.7,1.7885771543086173,4.1,1.7885771543086173,2.0,1.7885771543086173,3.4,1.7885771543086173
1.3,1.778557114228457,2.7,1.778557114228457,4.1,1.778557114228457,2.0,1.778557114228457,3.4,1.778557114228457
1.3,1.7685370741482966,2.7,1.7685370741482966,4.1,1.7685370741482966,2.0,1.7685370741482966,3.4,1.7685370741482966
1.3,1.7585170340681362,2.7,1.7585170340681362,4.1,1.7585170340681362,2.0,1.7585170340681362,3.4,1.7585170340681362
1.3,1.748496993987976,2.7,1.748496993987976,4.1,1.748496993987976,2.0,1.748496993987976,3.4,1.748496993987976
1.3,1.7384769539078158,2.7,1.7384769539078158,4.1,1.7384769539078158,2.0,1.7384769539078158,3.4,1.7384769539078158
1.3,1.7284569138276553,2.7,1.7284569138276553,4.1,1.7284569138276553,2.0,1.7284569138276553,3.4,1.7284569138276553
1.3,1.7184368737474949,2.7,1.7184368737474949,4.1,1.7184368737474949,2.0,1.7184368737474949,3.4,1.7184368737474949
1.3,1.7084168336673347,2.7,1.7084168336673347,4.1,1.7084168336673347,2.0,1.7084168336673347,3.4,1.7084168336673347
1.3,1.6983967935871744,2.7,1.6983967935871744,4.1,1.6983967935871744,2.0,1.6983967935871744,3.4,1.6983967935871744
1.3,1.688376753507014,2.7,1.688376753507014,4.1,1.688376753507014,2.0,1.688376753507014,3.4,1.688376753507014
1.3,1.6783567134268538,2.7,1.6783567134268538,4.1,1.6783567134268538,2.0,1.6783567134268538,3.4,1.6783567134268538
1.3,1.6683366733466936,2.7,1.6683366733466936,4.1,1.6683366733466936,2.0,1.6683366733466936,3.4,1.6683366733466936
1.3,1.6583166332665331,2.7,1.6583166332665331,4.1,1.6583166332665331,2.0,1.6583166332665331,3.4,1.6583166332665331
